example_id,teaching_track,phenomenon,chinese_example,pinyin,vietnamese_rendering,literal_gloss,focus_token_zh,focus_token_vi,chinese_pattern,vietnamese_pattern,similarity_level,teaching_risk,risk_score,learner_error_link,evidence_note,source_type,include_in_table
C013,contrastive_teaching,measure_classifier,两个学生,liǎng ge xuésheng,hai học sinh,two general-CL student,个,(none),number + general classifier + noun,number + noun,different,high,3,measure_word,Mandarin numeral-noun phrases normally require a classifier; 个 is the neutral classroom choice here.,synthetic teaching example,True
C014,contrastive_teaching,measure_classifier,一门课,yì mén kè,một môn học,one course-CL class,门,môn,number + course classifier + noun,number + subject/course word,partial,medium,2,measure_word,Môn helps but is not a one-to-one translation of 门.,synthetic teaching example,True
C015,contrastive_teaching,measure_classifier,三件衣服,sān jiàn yīfu,ba bộ/cái quần áo,three item clothes,件,bộ/cái,number + clothing classifier + noun,number + classifier + noun,partial,medium,2,measure_word,Good for classifier-choice discussion.,synthetic teaching example,True
C016,contrastive_teaching,measure_classifier,一条路,yì tiáo lù,một con đường,one long-thin road,条,con,number + long-object classifier + noun,number + classifier + noun,partial,medium,2,measure_word,Object shape can be used carefully as a memory aid.,synthetic teaching example,True
C017,contrastive_teaching,measure_classifier,两瓶水,liǎng píng shuǐ,hai chai nước,two bottle water,瓶,chai,number + container classifier + noun,number + container word + noun,similar,low,1,measure_word,Transparent contrast with 个.,synthetic teaching example,True
C018,contrastive_teaching,measure_classifier,一份作业,yí fèn zuòyè,một bài/bản bài tập,one portion assignment,份,bài/bản,number + portion classifier + noun,number + task classifier + noun,partial,medium,2,measure_word,Translation has several Vietnamese choices.,synthetic teaching example,True
C019,contrastive_teaching,measure_classifier,三位老师,sān wèi lǎoshī,ba vị giáo viên,three respectful-CL teacher,位,vị,number + respectful classifier + person,number + respectful classifier + person,similar,low,1,measure_word,Classifier can support register discussion.,synthetic teaching example,True
C020,contrastive_teaching,aspect_marker,我吃饭了。,Wǒ chīfàn le.,Tôi ăn cơm rồi.,I eat meal LE,了,rồi,verb/action + 了,verb/action + rồi,partial,high,3,aspect_marker,Do not teach 了 as simply past tense.,synthetic teaching example,True
C021,contrastive_teaching,aspect_marker,我学了三个月汉语。,Wǒ xué le sān ge yuè Hànyǔ.,Tôi đã học tiếng Trung ba tháng.,I study LE three months Chinese,了,đã,verb + 了 + duration/object,đã + verb + duration,partial,high,3,aspect_marker,Vietnamese đã is not a full equivalent of 了.,synthetic teaching example,True
C022,contrastive_teaching,aspect_marker,他去了北京。,Tā qù le Běijīng.,Anh ấy đã đi Bắc Kinh.,he go LE Beijing,了,đã,verb + 了 + place,đã + verb + place,partial,medium,2,aspect_marker,Separate event completion from tense.,synthetic teaching example,True
C023,contrastive_teaching,aspect_marker,我看过这本书。,Wǒ kàn guo zhè běn shū.,Tôi từng đọc quyển sách này.,I read EXP this book,过,từng,verb + experiential marker,từng + verb,partial,medium,2,aspect_marker,Contrastive extension beyond 了.,synthetic teaching example,True
C024,contrastive_teaching,aspect_marker,我正在写作业。,Wǒ zhèngzài xiě zuòyè.,Tôi đang làm bài tập.,I PROG write homework,正在,đang,progressive marker before verb,đang + verb,similar,low,1,aspect_marker,Shows not all aspect markers are equally risky.,synthetic teaching example,True
C025,contrastive_teaching,aspect_marker,她买了两张票。,Tā mǎi le liǎng zhāng piào.,Cô ấy đã mua hai vé.,she buy LE two tickets,了,đã,verb + 了 + object,đã + verb + object,partial,high,3,aspect_marker,Combines aspect and classifier; choose one focus.,synthetic teaching example,True
C026,contrastive_teaching,aspect_marker,我们上完课了。,Wǒmen shàng wán kè le.,Chúng tôi học xong rồi.,we attend finish class LE,完 / 了,xong / rồi,result complement + sentence-final 了,xong rồi,partial,high,3,aspect_marker,Links aspect and result complement; code carefully.,synthetic teaching example,True
C027,contrastive_teaching,aspect_marker,他还没来。,Tā hái méi lái.,Anh ấy vẫn chưa đến.,he still not-yet come,没,chưa,negative completion/non-occurrence frame,chưa + verb,similar,medium,2,aspect_marker,Negative example prevents over-focusing on 了 only.,synthetic teaching example,True
C028,contrastive_teaching,aspect_marker,我吃饭的时候，他来了。,"Wǒ chīfàn de shíhou, tā lái le.","Khi tôi đang ăn cơm, anh ấy đến.","when I eat, he came",的时候 / 了,khi / đang,time clause + event marker,khi + đang + event,partial,high,3,aspect_marker,Context decides Vietnamese rendering.,synthetic teaching example,True
C029,contrastive_teaching,aspect_marker,我学汉语学了两年。,Wǒ xué Hànyǔ xué le liǎng nián.,Tôi học tiếng Trung được hai năm.,I study Chinese study LE two years,学了两年,được hai năm,verb-copy + 了 + duration,verb + được + duration,different,high,3,aspect_marker,Strong stretch example for duration.,synthetic teaching example,True
C030,contrastive_teaching,result_complement,我找到票了。,Wǒ zhǎodào piào le.,Tôi tìm thấy vé rồi.,I search-reach ticket LE,找到,tìm thấy,verb + result complement,verb + result word,partial,high,3,result_complement,Contrast 找 and 找到 before asking learners to translate.,synthetic teaching example,True
C031,contrastive_teaching,result_complement,他听懂了问题。,Tā tīngdǒng le wèntí.,Anh ấy nghe hiểu câu hỏi.,he listen-understand question,听懂,nghe hiểu,verb + result complement,verb + result verb,partial,high,3,result_complement,Good for action versus achieved result.,synthetic teaching example,True
C032,contrastive_teaching,result_complement,我写完作业了。,Wǒ xiěwán zuòyè le.,Tôi làm xong bài tập rồi.,I write-finish homework LE,写完,làm xong,verb + finish complement,verb + xong,partial,medium,2,result_complement,Transparent but still needs word-order practice.,synthetic teaching example,True
C033,contrastive_teaching,result_complement,她看见老师了。,Tā kànjiàn lǎoshī le.,Cô ấy nhìn thấy thầy/cô.,she look-see teacher LE,看见,nhìn thấy,verb + perception result,verb + thấy,partial,medium,2,result_complement,Useful for beginner dialogues.,synthetic teaching example,True
C034,contrastive_teaching,result_complement,我买到词典了。,Wǒ mǎidào cídiǎn le.,Tôi mua được từ điển rồi.,I buy-reach dictionary LE,买到,mua được,verb + attainment complement,verb + được,partial,high,3,result_complement,Được is helpful but not a structural equivalent of 到.,synthetic teaching example,True
C035,contrastive_teaching,result_complement,我记住了生词。,Wǒ jìzhù le shēngcí.,Tôi nhớ được từ mới.,I remember-hold vocabulary,记住,nhớ được,verb + stable-result complement,verb + được,partial,high,3,result_complement,Good example for learning outcome language.,synthetic teaching example,True
C036,contrastive_teaching,result_complement,他说清楚了规则。,Tā shuō qīngchu le guīzé.,Anh ấy nói rõ quy tắc.,he say-clear rules,说清楚,nói rõ,verb + clarity complement,verb + adjective result,partial,medium,2,result_complement,Result complement beyond 到/完.,synthetic teaching example,True
C037,contrastive_teaching,result_complement,我们学会了这个句型。,Wǒmen xuéhuì le zhège jùxíng.,Chúng tôi học được mẫu câu này.,we learn-can this pattern,学会,học được,verb + mastery complement,verb + được,partial,high,3,result_complement,Connects to TCSOL learning outcomes.,synthetic teaching example,True
C038,contrastive_teaching,result_complement,他答对了问题。,Tā dáduì le wèntí.,Anh ấy trả lời đúng câu hỏi.,he answer-correct question,答对,trả lời đúng,verb + correctness complement,verb + đúng,partial,medium,2,result_complement,Useful when coding task accuracy.,synthetic teaching example,True
C039,contrastive_teaching,result_complement,我坐错车了。,Wǒ zuòcuò chē le.,Tôi đi nhầm xe rồi.,I ride-wrong vehicle,坐错,đi nhầm,verb + wrong-result complement,verb + nhầm,partial,high,3,result_complement,Negative result complements are high-value teaching examples.,synthetic teaching example,True
C040,contrastive_teaching,result_complement,老师讲明白了重点。,Lǎoshī jiǎng míngbai le zhòngdiǎn.,Thầy/cô giảng rõ trọng điểm.,teacher explain-clear key point,讲明白,giảng rõ,verb + clarity result,verb + rõ,partial,medium,2,result_complement,Bridge to classroom discourse.,synthetic teaching example,True
C041,contrastive_teaching,tone_pinyin_mapping,买 / 卖,mǎi / mài,mua / bán,buy / sell,ǎ / à,(khác từ),tone distinguishes lexical meaning,Vietnamese tones are a separate system,partial,high,3,tone_marking,Vietnamese tone knowledge does not directly map to Mandarin tone marks.,synthetic teaching example,True
C042,contrastive_teaching,tone_pinyin_mapping,请 / 清,qǐng / qīng,mời / trong sạch,invite / clear,ǐ / ī,(khác từ),tone mark changes word,Vietnamese lexical tones are separate,partial,medium,2,tone_marking,Use minimal pairs with meaning support.,synthetic teaching example,True
C043,contrastive_teaching,tone_pinyin_mapping,十 / 是,shí / shì,mười / là,ten / be,í / ì,(khác từ),same segmental pinyin syllable with different tone and meaning,Vietnamese support must be cautious,different,high,3,tone_marking,Common beginner listening-and-writing pair.,synthetic teaching example,True
C044,contrastive_teaching,tone_pinyin_mapping,马 / 妈,mǎ / mā,ngựa / mẹ,horse / mother,ǎ / ā,(khác từ),third tone vs first tone,Vietnamese tone names do not map directly,partial,high,3,tone_marking,Avoid saying third tone equals Vietnamese hỏi tone.,synthetic teaching example,True
C045,contrastive_teaching,tone_pinyin_mapping,老师,lǎoshī,giáo viên / thầy cô,teacher,ǎo / ī,(no direct map),two syllables with different tones,Vietnamese rendering has independent tones,different,medium,2,tone_marking,Useful title vocabulary.,synthetic teaching example,True
C046,contrastive_teaching,tone_pinyin_mapping,学习,xuéxí,học tập,study,ué / í,học / tập,Mandarin tones on both syllables,Sino-Vietnamese has Vietnamese tones,partial,medium,2,tone_marking,Cognates do not solve Mandarin tone marking.,synthetic teaching example,True
C047,contrastive_teaching,tone_pinyin_mapping,中国,Zhōngguó,Trung Quốc,China,ōng / uó,Trung / Quốc,proper noun with tones,Sino-Vietnamese reading differs,partial,medium,2,tone_marking,Connect pinyin to a familiar country name.,synthetic teaching example,True
C048,contrastive_teaching,tone_pinyin_mapping,越南,Yuènán,Việt Nam,Vietnam,uè / án,Việt / Nam,proper noun with Mandarin tones,Vietnamese name has own tones,partial,medium,2,tone_marking,Good learner-identity example.,synthetic teaching example,True
C049,contrastive_teaching,tone_pinyin_mapping,汉语,Hànyǔ,tiếng Hán / tiếng Trung,Chinese language,àn / ǔ,Hán,Mandarin tones differ from Hán-Việt tone,partial,partial,high,3,tone_marking,Warn against reading Hán-Việt tones as Mandarin tones.,synthetic teaching example,True
C050,contrastive_teaching,sino_vietnamese_lexical,文化,wénhuà,văn hóa,culture,文化,văn hóa,modern Chinese word,Sino-Vietnamese cognate,similar,low,1,lexical_choice,Transparent cognate baseline.,synthetic teaching example,True
C051,contrastive_teaching,sino_vietnamese_lexical,经济,jīngjì,kinh tế,economy,经济,kinh tế,modern Chinese word,Sino-Vietnamese cognate,similar,low,1,lexical_choice,Another transparent cognate.,synthetic teaching example,True
C052,contrastive_teaching,sino_vietnamese_lexical,学校,xuéxiào,trường học,school,学校,trường học,Chinese compound,common Vietnamese word differs from direct Hán-Việt,partial,medium,2,lexical_choice,Morpheme recognition does not guarantee natural equivalence.,synthetic teaching example,True
C053,contrastive_teaching,sino_vietnamese_lexical,先生,xiānsheng,ông / thầy / anh,Mr.; teacher in some contexts,先生,tiên sinh,polite address noun,Vietnamese Hán-Việt form is archaic/formal,different,high,3,lexical_choice,Cognate recognition is not enough for translation.,synthetic teaching example,True
C054,contrastive_teaching,sino_vietnamese_lexical,爱人,àiren,vợ/chồng / người yêu,spouse/loved one,爱人,ái nhân,relationship noun,direct Hán-Việt is unnatural,different,high,3,lexical_choice,Context controls spouse or lover.,synthetic teaching example,True
C055,contrastive_teaching,sino_vietnamese_lexical,方便,fāngbiàn,thuận tiện,convenient,方便,phương tiện?,adjective/verb,similar-looking form can mislead,different,high,3,lexical_choice,Compact false-friend example for MTPE.,synthetic teaching example,True
C056,contrastive_teaching,sino_vietnamese_lexical,经理,jīnglǐ,quản lý / giám đốc,manager,经理,kinh lý,occupation noun,Hán-Việt form is rare/old-fashioned,different,medium,2,lexical_choice,Good for register and modern usage.,synthetic teaching example,True
C057,contrastive_teaching,sino_vietnamese_lexical,手续,shǒuxù,thủ tục,procedure,手续,thủ tục,administrative noun,close but not literal,partial,medium,2,lexical_choice,Bridge to education-policy text.,synthetic teaching example,True
C058,contrastive_teaching,sino_vietnamese_lexical,同学,tóngxué,bạn học / bạn cùng lớp,classmate,同学,đồng học,school relationship noun,common Vietnamese equivalent differs,partial,medium,2,lexical_choice,Common classroom vocabulary.,synthetic teaching example,True
C059,contrastive_teaching,sino_vietnamese_lexical,学院,xuéyuàn,học viện / khoa / trường,college/institute/faculty by context,学院,học viện,institution noun,Vietnamese institutional terms vary,partial,high,3,lexical_choice,Useful for policy/institution translation caution.,synthetic teaching example,True
C060,contrastive_teaching,sino_vietnamese_lexical,单位,dānwèi,đơn vị / cơ quan,unit; work unit,单位,đơn vị,administrative noun,equivalent depends on policy context,partial,medium,2,lexical_choice,Connects contrastive lexical analysis to policy documents.,synthetic teaching example,True
C061,contrastive_teaching,time_place_order,我晚上学习。,Wǒ wǎnshang xuéxí.,Tôi học buổi tối.,,,,,,background,exclude,,background,background sentence; not enough contrastive note,background note,False
C062,contrastive_teaching,measure_classifier,一杯,yì bēi,một cốc,,,,,,background,exclude,,background,fragment only; exclude from table,background note,False
C063,contrastive_teaching,aspect_marker,了,le,rồi/đã,,,,,,background,exclude,,background,single marker note; not a full example,background note,False
C064,contrastive_teaching,result_complement,找到,zhǎodào,tìm thấy,,,,,,background,exclude,,background,word only; not a full sentence,background note,False
C065,contrastive_teaching,tone_pinyin_mapping,mā má mǎ mà,mā má mǎ mà,tone practice,,,,,,background,exclude,,background,drill string; not a contrastive example,background note,False
C066,contrastive_teaching,sino_vietnamese_lexical,现代化,xiàndàihuà,hiện đại hóa,,,,,,background,exclude,,background,background cognate; saved for later policy week,background note,False
