activity_id,phenomenon,activity_title,lesson_phase,target_level,target_form,vietnamese_bridge,contrastive_focus,activity_type,minutes,preparation_load,learner_difficulty,communicative_value,week09_priority_score,include_in_short_lesson,activity_goal,teacher_move,learner_output,assessment_evidence,caution_note
A016,tone_pinyin_mapping,Tone mark dictation,controlled_practice,A1,shí / shì,mười / là,Learners add tone marks to a tiny pinyin list after hearing examples.,dictation,7,2,3,1,22.0,False,practice tone mark attention,read pairs; show feedback,tone-marked pinyin,tone mark accuracy,Keep the list tiny.
A017,tone_pinyin_mapping,Meaning check pair,assessment,A1,买 / 卖,mua / bán,Learners choose meaning after hearing/reading the tone pair.,micro_quiz,4,1,2,2,22.0,False,check tone-meaning link,present two pairs,selected meanings,correct meaning choice,Assessment should be low pressure.
A018,sino_vietnamese_lexical,Cognate confidence card,notice,A2,文化,văn hóa,Learners identify transparent Sino-Vietnamese words and explain usefulness.,word_card,5,1,1,2,24.0,False,use cognates as confidence support,show two transparent items,confidence note,learner explains recognition,Do not let cognates replace context.
A019,sino_vietnamese_lexical,False-friend warning,compare,A2,方便,"thuận tiện, not phương tiện",Learners compare a misleading cognate-like item with natural Vietnamese meaning.,contrast_note,7,2,3,2,24.0,False,avoid false-friend overconfidence,show dictionary-style meanings,one warning note,correct meaning explanation,Use verified sources for lexical claims.
A020,sino_vietnamese_lexical,Policy-text register note,communicative_practice,B1,先生 / 教师 / 老师,ông / giáo viên / thầy cô,Learners choose Vietnamese renderings by context/register.,register_choice,9,2,2,3,24.0,False,connect lexical contrast to register,give three contexts,chosen rendering,fit between context and rendering,This is for advanced learners; mark as optional.
A021,result_complement,Teacher feedback bank,feedback,A2,你找到了吗？,Bạn đã tìm thấy chưa?,Teacher prepares three feedback prompts for result complement practice.,feedback_bank,3,1,2,2,28.0,True,give corrective feedback without long lecture,prepare prompts,feedback bank,feedback addresses target form,Feedback should be specific and brief.
A022,aspect_marker,Before-after picture prompt,communicative_practice,A2,变了 / 完了,đã thay đổi / xong rồi,Learners describe two picture states with aspect markers.,picture_prompt,10,2,3,3,25.0,False,use aspect marker with visible context,show before-after image,two sentences,context-based marker use,Images must be unambiguous.
A023,measure_classifier,Object classifier exit ticket,assessment,A1,一张票 / 一本书 / 一杯茶,một (tấm) vé / một quyển sách / một cốc trà,Learners choose one classifier and write one noun phrase.,exit_ticket,3,1,2,1,19.0,False,quick classifier check,collect one phrase,one noun phrase,classifier choice,Do not over-test.
A024,time_place_order,Peer correction strip,feedback,A1,S + place + V,S + V + place,Learners correct one peer sentence with place phrase order.,peer_feedback,5,2,2,2,21.0,False,notice and correct order,provide feedback sentence starter,corrected sentence,correction quality,Keep peer feedback kind and guided.
A025,result_complement,Mini review opener,review,A2,找 / 找到,tìm / tìm thấy,Teacher starts with two old examples before the new activity.,review,4,1,2,1,28.0,True,activate prior contrast before practice,show old and new example,one oral distinction,learner names action/result,Review should be short.
