response_id,learner_id,class_group,activity_focus,activity_label,item_id,target_structure,prompt_vi,expected_answer,learner_answer,has_error,error_category,error_feature,severity,possible_vi_transfer,correction_note,usable_error
R055,L011,A,feedback_cycle,Feedback cycle,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,mà,True,tone_marking,missing or wrong tone mark,1,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
R056,L012,B,guided_rewrite,Guided rewrite,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找票到。,True,result_complement,missing or wrong result complement,1,possible Vietnamese result expression mapped without complement structure,Contrast 找票 and 找到票了; ask learners to say whether the action reached a result.,True
R057,L012,B,input_practice,Input practice,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,两个茶。,True,measure_word,generic 个 used for object classifier,2,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as 一杯茶, 两本书, 三张票.",True
R058,L012,B,role_play,Role play,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我吃饭了。,False,no_error,target-like response,0,,Keep as target-like example; do not count as an error.,True
R059,L012,B,feedback_cycle,Feedback cycle,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,两个票。,True,measure_word,generic ge used for object classifier,1,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as yi bei cha, liang ben shu, san zhang piao.",True
R060,L012,B,guided_rewrite,Guided rewrite,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,mā,True,tone_marking,missing or wrong tone mark,3,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
R061,L013,A,input_practice,Input practice,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找票了。,True,result_complement,missing or wrong result complement,2,possible Vietnamese result expression mapped without complement structure,Contrast 找票 and 找到票了; ask learners to say whether the action reached a result.,True
R062,L013,A,role_play,Role play,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,,,unusable_response,blank or off-task response,,,Do not analyze: blank/off-task response.,False
R063,L013,A,feedback_cycle,Feedback cycle,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我学习汉语在学校。,True,word_order,place phrase placed after verb phrase,1,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R064,L013,A,guided_rewrite,Guided rewrite,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,在学校我学习汉语。,True,word_order,place phrase placed after verb phrase,3,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R065,L013,A,input_practice,Input practice,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,ma,True,tone_marking,missing or wrong tone mark,2,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
R066,L014,B,role_play,Role play,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找到票了。,False,no_error,target-like response,0,,Keep as target-like example; do not count as an error.,True
R067,L014,B,feedback_cycle,Feedback cycle,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,二个茶。,True,measure_word,generic 个 used for object classifier,1,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as 一杯茶, 两本书, 三张票.",True
R068,L014,B,guided_rewrite,Guided rewrite,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我饭吃了。,True,aspect_marker,missing or misplaced 了,3,possible Vietnamese tense/aspect expression does not map one-to-one to 了,Use short action-result routines and compare verb-final 了 with sentence-final 了.,True
R069,L014,B,input_practice,Input practice,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,我学习汉语在学校。,True,word_order,place phrase placed after verb phrase,2,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R070,L014,B,role_play,Role play,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,má,True,tone_marking,missing or wrong tone mark,3,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
R071,L015,A,feedback_cycle,Feedback cycle,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找到票。,True,result_complement,missing or wrong result complement,1,possible Vietnamese result expression mapped without complement structure,Contrast 找票 and 找到票了; ask learners to say whether the action reached a result.,True
R072,L015,A,guided_rewrite,Guided rewrite,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,两杯的茶。,True,measure_word,generic 个 used for object classifier,3,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as 一杯茶, 两本书, 三张票.",True
R073,L015,A,input_practice,Input practice,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我了吃饭。,True,aspect_marker,missing or misplaced 了,2,possible Vietnamese tense/aspect expression does not map one-to-one to 了,Use short action-result routines and compare verb-final 了 with sentence-final 了.,True
R074,L015,A,role_play,Role play,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,我在学校学习汉语。,False,no_error,target-like response,0,,Keep as target-like example; do not count as an error.,True
R075,L015,A,feedback_cycle,Feedback cycle,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,mà,True,tone_marking,missing or wrong tone mark,1,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
R076,L016,B,guided_rewrite,Guided rewrite,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找票到。,True,result_complement,missing or wrong result complement,3,possible Vietnamese result expression mapped without complement structure,Contrast 找票 and 找到票了; ask learners to say whether the action reached a result.,True
R077,L016,B,input_practice,Input practice,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,两个茶。,True,measure_word,generic 个 used for object classifier,2,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as 一杯茶, 两本书, 三张票.",True
R078,L016,B,role_play,Role play,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我吃饭。,True,aspect_marker,missing or misplaced 了,3,possible Vietnamese tense/aspect expression does not map one-to-one to 了,Use short action-result routines and compare verb-final 了 with sentence-final 了.,True
R079,L016,B,feedback_cycle,Feedback cycle,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,,,unusable_response,blank or off-task response,,,Do not analyze: blank/off-task response.,False
R080,L016,B,guided_rewrite,Guided rewrite,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,mā,True,tone_marking,missing or wrong tone mark,2,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
