segment_id,domain,zh_source,vi_reference,mt_system,vi_mt_output,vi_postedit,pe_time_seconds,revision_type,severity,review_decision,post_editor_note,source_note
P004,curriculum,课程改革强调学生的综合语言运用能力。,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,MT_B,Cải cách chương trình học nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,25,no_error,none,accept,minor deletion only,synthetic education-policy translation example; not output from a named commercial system
P004,curriculum,课程改革强调学生的综合语言运用能力。,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,MT_C,Cải cách chương trình nhấn mạnh năng lực ngôn ngữ của học sinh.,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,83,omission,minor,minor_edit,specific competence restored,synthetic education-policy translation example; not output from a named commercial system
P005,assessment,评价结果应服务于改进教学，而不是简单排名。,"Kết quả đánh giá cần phục vụ việc cải thiện dạy học, chứ không chỉ để xếp hạng đơn giản.",MT_A,"Kết quả đánh giá nên phục vụ cải tiến giảng dạy, mà không phải xếp thứ tự đơn giản.","Kết quả đánh giá cần phục vụ việc cải thiện dạy học, chứ không chỉ để xếp hạng đơn giản.",91,style,minor,minor_edit,Vietnamese connector and register repaired,synthetic education-policy translation example; not output from a named commercial system
P005,assessment,评价结果应服务于改进教学，而不是简单排名。,"Kết quả đánh giá cần phục vụ việc cải thiện dạy học, chứ không chỉ để xếp hạng đơn giản.",MT_B,"Kết quả đánh giá nên phục vụ cải thiện hoạt động dạy học, chứ không chỉ dùng để xếp hạng.","Kết quả đánh giá cần phục vụ việc cải thiện dạy học, chứ không chỉ để xếp hạng đơn giản.",48,style,minor,minor_edit,register tightened,synthetic education-policy translation example; not output from a named commercial system
P005,assessment,评价结果应服务于改进教学，而不是简单排名。,"Kết quả đánh giá cần phục vụ việc cải thiện dạy học, chứ không chỉ để xếp hạng đơn giản.",MT_C,Kết quả đánh giá không chỉ để xếp hạng.,"Kết quả đánh giá cần phục vụ việc cải thiện dạy học, chứ không chỉ để xếp hạng đơn giản.",137,omission,major,major_revision,main purpose restored,synthetic education-policy translation example; not output from a named commercial system
P006,policy_implementation,地方教育部门可以根据学校条件制定实施方案。,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,MT_A,Bộ phận giáo dục địa phương có thể căn cứ điều kiện trường học chế định phương án thực thi.,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,109,terminology,major,major_revision,policy-administration terms repaired,synthetic education-policy translation example; not output from a named commercial system
P006,policy_implementation,地方教育部门可以根据学校条件制定实施方案。,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,MT_B,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai dựa trên điều kiện của từng trường.,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,31,no_error,none,accept,acceptable preposition variant,synthetic education-policy translation example; not output from a named commercial system
P006,policy_implementation,地方教育部门可以根据学校条件制定实施方案。,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,MT_C,Địa phương có thể xây dựng phương án triển khai.,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,116,omission,major,major_revision,institution and condition restored,synthetic education-policy translation example; not output from a named commercial system
P007,international_chinese,短期汉语课程应结合学习者的母语背景设计任务。,Khóa học Hán ngữ ngắn hạn nên thiết kế nhiệm vụ dựa trên bối cảnh tiếng mẹ đẻ của người học.,MT_A,Khóa Hán ngữ ngắn hạn nên kết hợp bối cảnh mẫu ngữ của người học để thiết kế nhiệm vụ.,Khóa học Hán ngữ ngắn hạn nên thiết kế nhiệm vụ dựa trên bối cảnh tiếng mẹ đẻ của người học.,103,terminology,major,major_revision,mother-tongue term repaired,synthetic education-policy translation example; not output from a named commercial system
P007,international_chinese,短期汉语课程应结合学习者的母语背景设计任务。,Khóa học Hán ngữ ngắn hạn nên thiết kế nhiệm vụ dựa trên bối cảnh tiếng mẹ đẻ của người học.,MT_B,Khóa Hán ngữ ngắn hạn nên thiết kế nhiệm vụ gắn với nền tảng tiếng mẹ đẻ của người học.,Khóa học Hán ngữ ngắn hạn nên thiết kế nhiệm vụ dựa trên bối cảnh tiếng mẹ đẻ của người học.,49,style,minor,minor_edit,pedagogical wording aligned,synthetic education-policy translation example; not output from a named commercial system
P007,international_chinese,短期汉语课程应结合学习者的母语背景设计任务。,Khóa học Hán ngữ ngắn hạn nên thiết kế nhiệm vụ dựa trên bối cảnh tiếng mẹ đẻ của người học.,MT_C,Khóa Hán ngữ ngắn hạn nên thiết kế nhiệm vụ cho người học.,Khóa học Hán ngữ ngắn hạn nên thiết kế nhiệm vụ dựa trên bối cảnh tiếng mẹ đẻ của người học.,126,omission,major,major_revision,mother-tongue background restored,synthetic education-policy translation example; not output from a named commercial system
P008,teacher_development,新教师需要在真实教学情境中获得指导。,Giáo viên mới cần được hướng dẫn trong bối cảnh dạy học thực tế.,MT_A,Giáo viên mới cần ở trong tình huống dạy học chân thật đạt được chỉ đạo.,Giáo viên mới cần được hướng dẫn trong bối cảnh dạy học thực tế.,101,word_order,major,major_revision,syntax repaired,synthetic education-policy translation example; not output from a named commercial system
P008,teacher_development,新教师需要在真实教学情境中获得指导。,Giáo viên mới cần được hướng dẫn trong bối cảnh dạy học thực tế.,MT_B,Giáo viên mới cần được hướng dẫn trong các tình huống dạy học thực tế.,Giáo viên mới cần được hướng dẫn trong bối cảnh dạy học thực tế.,32,no_error,none,accept,acceptable variant,synthetic education-policy translation example; not output from a named commercial system
P008,teacher_development,新教师需要在真实教学情境中获得指导。,Giáo viên mới cần được hướng dẫn trong bối cảnh dạy học thực tế.,MT_C,Giáo viên mới cần được hướng dẫn trong bối cảnh thực tế.,Giáo viên mới cần được hướng dẫn trong bối cảnh dạy học thực tế.,59,omission,minor,minor_edit,teaching context restored,synthetic education-policy translation example; not output from a named commercial system
P009,curriculum,教材例句应反映真实交际场景。,Câu ví dụ trong giáo trình nên phản ánh bối cảnh giao tiếp thực tế.,MT_A,Câu ví dụ tài liệu dạy học nên phản ánh cảnh giao tiếp chân thật.,Câu ví dụ trong giáo trình nên phản ánh bối cảnh giao tiếp thực tế.,78,style,minor,minor_edit,register repaired,synthetic education-policy translation example; not output from a named commercial system
P009,curriculum,教材例句应反映真实交际场景。,Câu ví dụ trong giáo trình nên phản ánh bối cảnh giao tiếp thực tế.,MT_B,Câu ví dụ trong giáo trình nên phản ánh tình huống giao tiếp thực tế.,Câu ví dụ trong giáo trình nên phản ánh bối cảnh giao tiếp thực tế.,26,no_error,none,accept,acceptable lexical variant,synthetic education-policy translation example; not output from a named commercial system
P009,curriculum,教材例句应反映真实交际场景。,Câu ví dụ trong giáo trình nên phản ánh bối cảnh giao tiếp thực tế.,MT_C,Giáo trình nên phản ánh giao tiếp thực tế.,Câu ví dụ trong giáo trình nên phản ánh bối cảnh giao tiếp thực tế.,88,omission,minor,minor_edit,example sentence unit restored,synthetic education-policy translation example; not output from a named commercial system
P010,digitalization,平台数据不能替代教师对学习过程的观察。,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,MT_A,Dữ liệu bình đài không thể thay thế giáo viên đối với quá trình học tập quan sát.,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,112,word_order,major,major_revision,word order and platform term repaired,synthetic education-policy translation example; not output from a named commercial system
P010,digitalization,平台数据不能替代教师对学习过程的观察。,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,MT_B,Dữ liệu từ nền tảng không thể thay thế việc giáo viên quan sát quá trình học tập.,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,42,style,minor,minor_edit,nominal phrase tightened,synthetic education-policy translation example; not output from a named commercial system
P010,digitalization,平台数据不能替代教师对学习过程的观察。,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,MT_C,Dữ liệu không thể thay thế giáo viên.,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,143,omission,major,major_revision,platform and observation meaning restored,synthetic education-policy translation example; not output from a named commercial system
